color,dealer_rating,miles,miles_away,pricing,trim,year
Silver,,53509,92.7,21995,Grand Touring,2016
Blue,,42003,92.7,25995,Grand Touring,2018
Gray,,46466,139.0,21550,Grand Touring,2016
Black,,12851,139.0,26950,Grand Touring,2018
Gray,,70819,144.7,18000,Grand Touring,2016
Blue,,75383,152.4,18500,Grand Touring,2016
White,,50762,,17500,Grand Touring,2016
Silver,,18998,111.4,26999,Grand Touring,2019
White,,38372,125.8,19721,Touring,2018
Black,,88480,61.4,15998,Grand Touring,2015
Gray,,66446,142.3,20488,Grand Touring,2015
Black,,41618,142.3,26988,Grand Touring,2017
Silver,,27987,174.0,18527,Touring,2016
Silver,,38736,178.0,18995,Touring,2016
Blue,,26225,14.8,22898,Touring,2018
Blue,,17596,181.5,22489,Grand Touring,2016
Gray,,17602,185.0,19230,Touring,2016
Black,,17541,194.2,18900,Touring,2016
Red,,82621,198.9,18200,Grand Touring,2016
Blue,,39199,85.8,18470,Touring,2016
Silver,,40418,85.9,25222,Grand Touring,2018
Blue,,38267,64.5,22500,Touring,2017
Gray,,103000,119.2,18990,Touring,2017
Gray,,45532,,16700,Sport,2016
Red,,78395,,17900,Grand Touring,2016
Black,,43037,,18900,Touring,2016
Red,,39028,,19000,Touring,2016
Blue,,50306,,19000,Grand Touring,2016
Gray,,43255,,20900,Grand Touring,2016
Gray,,42910,,21000,Grand Touring,2016
Gray,,34779,,21900,Grand Touring,2016
Silver,,30565,,21900,Grand Touring,2016
Black,,30198,,22100,Grand Touring,2016
Black,,47951,133.7,18714,Touring,2017
White,,50393,148.6,17547,Sport,2016
Blue,,75339,100.6,17991,Grand Touring,2016
Blue,,19448,26.7,25481,Grand Touring,2019
Gray,,51391,107.8,17900,Touring,2016
White,,44996,82.1,22488,Touring,2017
Black,,18098,139.0,21750,Grand Touring,2016
Gray,,33788,123.5,18500,Sport,2016
Red,,85156,137.4,15794,Grand Touring,2016
Red,,106641,142.3,13988,Sport,2015
White,,49316,158.8,18900,Sport,2017
Gray,,87623,160.2,13500,Touring,2015
Gray,,5000,194.2,28900,Grand Touring,2019
Black,,16740,194.2,28900,Grand Touring,2019
Silver,,19951,194.2,28900,Grand Touring,2019
Black,,23633,194.2,28900,Grand Touring,2019
Silver,,18192,194.2,28900,Grand Touring,2019
Blue,,0,7.32,27254,Touring,2019
Blue,,0,7.32,27254,Touring,2019
Blue,,4321,,34090,Signature,2019
Blue,,3960,143.5,26993,Touring,2019
Gray,,13533,44.9,27778,Grand Touring,2019
Gray,,47396,193.8,17845,Touring,2016
Gray,,72937,183.3,12975,Touring,2016
Blue,,57452,85.8,19490,Grand Touring,2016
White,,30849,98.3,22229,Grand Touring,2016
White,,34098,98.3,22382,Touring,2017
Black,,21432,24.5,22788,Grand Touring,2016
Blue,,47936,,17900,Touring,2016
Gray,,62798,,18800,Grand Touring,2016
Gray,,59790,,18900,Grand Touring,2016
White,,54767,,19500,Grand Touring,2016
Gray,,33209,187.2,19495,Touring,2016
Red,,0,7.32,25844,Sport,2019
Blue,,0,7.32,25870,Sport,2019
Blue,,0,7.32,27254,Touring,2019
Red,,0,7.32,27495,Touring,2019
Gray,,0,7.32,27521,Touring,2019
White,,0,7.32,28376,Touring,2019
Gray,,0,7.32,28465,Touring,2019
Blue,,0,7.32,28478,Touring,2019
White,,0,7.32,28656,Touring,2019
White,,0,7.32,28656,Touring,2019
White,,0,7.32,28656,Touring,2019
Gray,,0,7.32,28745,Touring,2019
Blue,,0,7.32,28895,Grand Touring,2019
White,,0,7.32,29250,Grand Touring,2019
Blue,,0,7.32,30267,Grand Touring,2019
White,,0,7.32,30445,Grand Touring,2019
Gray,,0,7.32,30534,Grand Touring,2019
Red,,0,7.32,30797,Grand Touring,2019
Blue,,0,7.32,31713,Grand Touring,2019
Blue,,0,7.32,31713,Grand Touring,2019
Blue,,0,7.32,31713,Grand Touring,2019
Blue,,0,7.32,31713,Grand Touring,2019
Blue,,0,7.32,31713,Grand Touring,2019
Blue,,0,7.32,31713,Grand Touring,2019
White,,0,7.32,31891,Grand Touring,2019
White,,0,7.32,31891,Grand Touring,2019
Gray,,0,7.32,31980,Grand Touring,2019
Gray,,0,7.32,31980,Grand Touring,2019
Red,,0,7.32,32243,Grand Touring,2019
Black,,3700,7.32,32495,Grand Touring Reserve,2019
Black,,0,7.32,33195,Grand Touring Reserve,2019
Blue,,0,7.32,36397,Signature,2019
Gray,,0,7.32,36664,Signature,2019
Gray,,10,7.32,38995,Signature,2019
Silver,,54505,44.1,17650,Touring,2016
White,,0,13.7,28646,Touring,2019
Gray,,0,13.7,28735,Touring,2019
Blue,,0,13.7,29700,Touring,2019
Black,,0,13.7,29700,Touring,2019
Blue,,0,13.7,29700,Touring,2019
Black,,0,13.7,29700,Touring,2019
Silver,,0,13.7,29700,Touring,2019
Blue,,0,13.7,29700,Touring,2019
Black,,0,13.7,29800,Touring,2019
Gray,,0,13.7,29969,Touring,2019
Gray,,0,13.7,29969,Touring,2019
Black,,0,13.7,33060,Grand Touring,2019
White,,0,13.7,33138,Grand Touring,2019
Gray,,0,13.7,33228,Grand Touring,2019
Red,,0,13.7,33493,Grand Touring,2019
White,,0,13.7,40949,Signature,2019
Red,,0,13.7,41301,Signature,2019
Blue,,33435,146.2,19771,Touring,2016
Red,,30714,142.7,20747,Touring,2016
Silver,,24010,148.6,20978,Touring,2016
Red,,26816,148.6,21978,Touring,2016
White,,22189,159.2,23988,Touring,2017
Silver,,34465,25.1,16500,Sport,2016
Black,,14747,,27370,Grand Touring,2019
Black,,55622,98.3,19939,Grand Touring,2016
Gray,,18217,161.3,19190,Touring,2016
Black,,55010,5.5,16995,Grand Touring,2016
Silver,,5447,150.2,27400,Touring,2019
Black,,5435,150.2,28600,Grand Touring,2019
White,,33101,139.0,24750,Grand Touring,2017
Silver,,18187,143.5,21450,Grand Touring,2016
Gray,,3430,143.5,28663,Grand Touring,2019
Blue,,55994,15.1,17699,Grand Touring,2016
Blue,,68297,142.3,17988,Grand Touring,2016
White,,28240,144.3,17988,Touring,2016
Red,,35168,148.6,23978,Grand Touring,2016
Gray,,89998,174.7,13795,Touring,2016
White,,28596,178.6,23988,Grand Touring,2016
Blue,,22180,191.3,17490,Sport,2016
Blue,,64098,191.5,16995,Touring,2016
Blue,,32565,134.2,16900,Touring,2016
Silver,,13694,134.2,26100,Grand Touring,2019
White,,13201,136.1,25990,Grand Touring,2019
Blue,,14231,43.8,22369,Grand Touring,2016
White,,0,43.8,29935,Grand Touring,2019
Blue,,25348,150.2,18800,Touring,2016
White,,21038,150.2,19300,Touring,2016
Gray,,19381,150.2,22100,Grand Touring,2016
Blue,,41273,85.9,21900,Grand Touring,2016
White,,29229,19.1,24330,Grand Touring,2017
Gray,,41825,143.5,16323,Sport,2016
Gray,,31900,173.3,21937,Touring,2017
Red,,60911,179.3,18326,Grand Touring,2016
Gray,,23879,193.8,25183,Grand Touring,2017
Black,,10544,46.1,26495,Grand Touring,2018
Red,,14658,135.4,18576,Sport,2016
White,,31932,137.5,18882,Touring,2016
Black,,31237,145.5,20890,Grand Touring,2016
Gray,,27182,145.9,21301,Grand Touring,2016
Gray,,30716,149.1,24677,Grand Touring,2017
Red,,15418,151.8,17494,Sport,2016
Black,,6546,33.2,22688,Sport,2018
Black,,38978,159.2,21988,Grand Touring,2016
White,,34730,159.2,22488,Touring,2018
Gray,,49043,160.2,21000,Grand Touring,2016
Black,,24722,160.3,19745,Touring,2016
Blue,,4077,178.0,29995,Grand Touring,2019
White,,52873,50.2,14400,Sport,2013
Red,,86067,199.1,10933,Touring,2013
,,4776,85.8,26360,Touring,2019
Black,,45425,19.0,16181,Sport,2016
Silver,,45786,19.0,19790,Touring,2018
Gray,,43337,19.0,20290,Touring,2017
Silver,,22429,98.3,22150,Grand Touring,2016
Gray,,0,7.32,34415,Grand Touring,2019
Red,,21615,,27280,Grand Touring,2018
Silver,,61355,145.2,11997,Touring,2013
White,,0,13.7,29260,Touring,2019
Gray,,0,13.7,29360,Touring,2019
Gray,,0,13.7,29360,Touring,2019
Gray,,0,13.7,29969,Touring,2019
Blue,,0,13.7,30435,Touring,2019
Blue,,0,13.7,30435,Touring,2019
Silver,,0,13.7,30435,Touring,2019
Blue,,0,13.7,30435,Touring,2019
Blue,,0,13.7,30435,Touring,2019
Black,,0,13.7,30435,Touring,2019
Blue,,0,13.7,30435,Touring,2019
Black,,0,13.7,30435,Touring,2019
Blue,,0,13.7,30435,Touring,2019
Blue,,0,13.7,30435,Touring,2019
Blue,,0,13.7,30435,Touring,2019
White,,0,13.7,30635,Touring,2019
Gray,,0,13.7,30735,Touring,2019
Gray,,0,13.7,30735,Touring,2019
Gray,,0,13.7,30735,Touring,2019
Red,,0,13.7,31030,Touring,2019
Red,,0,13.7,31030,Touring,2019
Red,,0,13.7,31030,Touring,2019
Red,,0,13.7,31030,Touring,2019
Gray,,0,13.7,32790,Grand Touring,2019
Gray,,0,13.7,32790,Grand Touring,2019
Red,,0,13.7,33085,Grand Touring,2019
Red,,0,13.7,33085,Grand Touring,2019
Blue,,0,13.7,34115,Grand Touring,2019
Blue,,0,13.7,34115,Grand Touring,2019
White,,0,13.7,34315,Grand Touring,2019
White,,0,13.7,34315,Grand Touring,2019
White,,0,13.7,34315,Grand Touring,2019
White,,0,13.7,34315,Grand Touring,2019
Gray,,0,13.7,34415,Grand Touring,2019
Gray,,0,13.7,34415,Grand Touring,2019
Gray,,0,13.7,34415,Grand Touring,2019
Red,,0,13.7,34710,Grand Touring,2019
Red,,0,13.7,34710,Grand Touring,2019
Red,,0,13.7,34710,Grand Touring,2019
Red,,0,13.7,34710,Grand Touring,2019
Red,,0,13.7,34710,Grand Touring,2019
Black,,0,13.7,34818,Grand Touring Reserve,2019
Blue,,0,13.7,37556,Signature,2019
Blue,,0,13.7,37556,Signature,2019
Blue,,0,13.7,37556,Signature,2019
Black,,28576,68.7,24300,Grand Touring,2017
White,,33274,41.7,20500,Grand Touring,2016
White,,29031,150.2,17400,Sport,2016
Gray,,42071,150.2,17900,Touring,2016
Black,,35825,150.2,20000,Grand Touring,2016
Silver,,39231,150.2,20200,Grand Touring,2016
White,,26777,150.2,21100,Grand Touring,2016
White,,26834,150.2,21500,Grand Touring,2016
Gray,,23801,150.2,22900,Touring,2017
Blue,,13857,108.8,24900,Grand Touring,2019
Black,,13932,108.8,24900,Grand Touring,2019
Black,,29303,135.6,24000,Grand Touring,2017
Gray,,11899,143.5,33856,Signature,2019
Black,,23381,98.3,20989,Grand Touring,2016
White,,26441,106.4,17995,Touring,2016
Blue,,29100,135.4,17647,Sport,2016
Gray,,3730,137.5,24773,Touring,2019
Silver,,27524,140.0,19069,Sport,2017
Black,,57359,144.3,16988,Grand Touring,2015
White,,47399,148.6,20978,Grand Touring,2016
Blue,,22504,151.8,21494,Grand Touring,2016
White,,41373,48.7,16914,Touring,2016
Gray,,35110,155.4,20333,Grand Touring,2016
Brown,,42510,157.2,14855,Sport,2016
Gray,,39910,157.2,19355,Grand Touring,2016
Silver,,40831,157.2,19355,Grand Touring,2016
Black,,33789,158.2,16355,Sport,2016
Black,,37422,158.2,18555,Grand Touring,2016
Blue,,40862,181.1,17995,Touring,2016
Gray,,27852,181.1,18995,Touring,2016
Black,,24050,197.0,18400,Sport,2016
White,,15001,85.8,32870,Signature,2019
White,,44920,98.3,19998,Grand Touring,2016
Blue,,0,109.9,28538,Touring,2019
Gray,,0,109.9,28773,Touring,2019
Black,,0,109.9,29827,Touring,2019
Black,,0,109.9,29827,Touring,2019
White,,0,109.9,30023,Touring,2019
Gray,,0,109.9,32135,Grand Touring,2019
Gray,,0,109.9,32135,Grand Touring,2019
Black,,0,109.9,33433,Grand Touring,2019
Blue,,0,109.9,33433,Grand Touring,2019
Blue,,0,109.9,33433,Grand Touring,2019
Black,,0,109.9,35197,Grand Touring Reserve,2019
Black,,42935,136.1,18850,Touring,2017
Silver,,0,43.8,24908,Sport,2019
White,,0,43.8,25086,Sport,2019
Black,,0,43.8,25285,Sport,2019
Red,,0,43.8,25334,Sport,2019
Red,,0,43.8,25334,Sport,2019
Blue,,0,43.8,26744,Touring,2019
Red,,0,43.8,27322,Touring,2019
Black,,0,43.8,27918,Touring,2019
Blue,,0,43.8,28016,Touring,2019
Blue,,0,43.8,28016,Touring,2019
Blue,,0,43.8,28016,Touring,2019
Blue,,0,43.8,28068,Touring,2019
White,,0,43.8,28194,Touring,2019
White,,0,43.8,28194,Touring,2019
Gray,,0,43.8,28283,Touring,2019
Red,,0,43.8,28498,Touring,2019
Red,,0,43.8,28546,Touring,2019
Black,,0,43.8,29757,Grand Touring,2019
Gray,,0,43.8,30024,Grand Touring,2019
White,,0,43.8,30035,Grand Touring,2019
White,,0,43.8,30035,Grand Touring,2019
Gray,,0,43.8,30074,Grand Touring,2019
Red,,0,43.8,30387,Grand Touring,2019
Red,,0,43.8,30387,Grand Touring,2019
White,,0,43.8,31381,Grand Touring,2019
White,,0,43.8,31381,Grand Touring,2019
White,,0,43.8,31481,Grand Touring,2019
Black,,0,43.8,32998,Grand Touring Reserve,2019
White,,0,43.8,33282,Grand Touring Reserve,2019
Black,,0,43.8,35043,Signature,2019
White,,0,43.8,35165,Signature,2019
White,,0,43.8,35165,Signature,2019
White,,0,43.8,39114,Signature,2019
Gray,,0,13.7,37853,Signature,2019
White,,0,82.7,26760,Touring,2019
Red,,0,82.7,27155,Touring,2019
Blue,,0,82.7,27435,Touring,2019
Black,,0,82.7,27435,Touring,2019
White,,0,82.7,27635,Touring,2019
White,,0,82.7,27635,Touring,2019
Gray,,0,82.7,27735,Touring,2019
White,,0,82.7,27760,Touring,2019
Red,,0,82.7,28030,Touring,2019
Gray,,0,82.7,30415,Grand Touring,2019
Blue,,0,82.7,31740,Grand Touring,2019
Gray,,0,82.7,33715,Grand Touring Reserve,2019
Gray,,0,82.7,33715,Grand Touring Reserve,2019
Silver,,29990,150.2,17400,Sport,2016
Blue,,72905,18.4,14998,Touring,2016
Blue,,29350,87.1,13495,Sport,2016
White,,20826,143.5,20967,Sport,2018
Red,,38500,104.9,16995,Touring,2016
Red,,35387,106.2,18972,Touring,2016
Red,,15133,123.2,19995,Touring,2016
Red,,29573,128.9,24995,Grand Touring,2017
White,,31319,135.4,18995,Touring,2016
Blue,,0,142.3,25288,Sport,2019
Blue,,0,142.3,25288,Sport,2019
Black,,0,142.3,25288,Sport,2019
White,,0,142.3,25488,Sport,2019
White,,0,142.3,25488,Sport,2019
White,,0,142.3,25488,Sport,2019
Red,,0,142.3,25788,Sport,2019
Blue,,0,142.3,26288,Sport,2019
White,,0,142.3,27488,Touring,2019
Silver,,0,142.3,28488,Touring,2019
Blue,,0,142.3,28488,Touring,2019
Blue,,0,142.3,28488,Touring,2019
Gray,,0,142.3,28788,Touring,2019
Red,,0,142.3,28988,Touring,2019
Blue,,0,142.3,30288,Grand Touring,2019
Red,,0,142.3,30888,Grand Touring,2019
Gray,,0,142.3,31988,Grand Touring,2019
Black,,0,142.3,33988,Grand Touring Reserve,2019
Gray,,0,142.3,34288,Grand Touring Reserve,2019
Black,,0,142.3,35988,Signature,2019
Black,,0,142.3,35988,Signature,2019
White,,0,142.3,36188,Signature,2019
Gray,,0,142.3,39988,Signature,2019
Gray,,0,142.3,39988,Signature,2019
White,,19124,144.4,20495,Touring,2016
Red,,30329,144.7,21995,Grand Touring,2016
Black,,80551,144.9,12495,Touring,2014
Red,,69536,146.6,11595,Sport,2014
White,,0,63.4,24995,Sport,2018
Blue,,0,63.4,25126,Sport,2018
Silver,,0,63.4,28428,Touring,2019
White,,36751,155.4,19677,Grand Touring,2016
Red,,36929,157.2,20555,Grand Touring,2016
Blue,,34796,158.2,16655,Sport,2016
Gray,,32118,158.2,17033,Touring,2016
Gray,,35214,158.8,16450,Touring,2016
White,,67339,159.2,19488,Grand Touring,2016
Silver,,41235,159.6,17999,Grand Touring,2016
Blue,,27781,170.7,17900,Sport,2016
,,58770,177.1,16785,Grand Touring,2016
Gray,,59143,179.7,14991,Grand Touring,2015
Silver,,33051,181.1,17995,Touring,2016
Black,,42514,181.1,18295,Touring,2016
Black,,43662,181.1,19995,Grand Touring,2016
Black,,981,181.1,24995,Sport,2019
White,,63041,195.7,13999,Touring,2014
Red,,9201,85.8,32370,Grand Touring Reserve,2019
Red,,0,7.32,27784,Touring,2019
Black,,0,98.3,25594,Sport,2019
White,,0,98.3,25772,Sport,2019
White,,0,98.3,25772,Sport,2019
Red,,0,98.3,26124,Sport,2019
Red,,0,98.3,26680,Sport,2019
White,,0,98.3,27712,Touring,2019
Blue,,0,98.3,28758,Touring,2019
Black,,0,98.3,28758,Touring,2019
Blue,,0,98.3,28758,Touring,2019
Silver,,0,98.3,28768,Touring,2019
White,,0,98.3,28936,Touring,2019
Gray,,0,98.3,29025,Touring,2019
Gray,,0,98.3,29025,Touring,2019
Silver,,0,98.3,30547,Grand Touring,2019
Black,,0,98.3,30547,Grand Touring,2019
Silver,,0,98.3,30547,Grand Touring,2019
Red,,0,98.3,31087,Grand Touring,2019
Blue,,0,98.3,32003,Grand Touring,2019
White,,0,98.3,32121,Grand Touring,2019
Red,,0,98.3,32533,Grand Touring,2019
Blue,,0,98.3,34658,Grand Touring Reserve,2019
Red,,0,98.3,34868,Grand Touring Reserve,2019
Red,,0,98.3,34868,Grand Touring Reserve,2019
White,,0,98.3,36236,Signature,2019
Blue,,0,98.3,36287,Signature,2019
White,,0,98.3,36455,Signature,2019
Red,,0,98.3,36807,Signature,2019
Red,,0,98.3,36807,Signature,2019
Red,,0,98.3,36807,Signature,2019
Gray,,0,98.3,40993,Signature,2019
Red,,38391,64.7,18388,Touring,2016
Black,,25328,24.8,20800,Grand Touring,2016
White,,0,82.7,26760,Touring,2019
Black,,0,82.7,27435,Touring,2019
White,,0,82.7,27635,Touring,2019
Blue,,0,82.7,31740,Grand Touring,2019
Blue,,52088,150.2,18900,Grand Touring,2016
White,,0,150.2,26995,Sport,2019
Blue,,0,150.2,34115,Grand Touring,2019
Blue,,17911,108.8,24900,Grand Touring,2019
Silver,,21293,108.8,24900,Grand Touring,2019
Black,,18224,108.8,24900,Grand Touring,2019
Black,,15503,108.8,24900,Grand Touring,2019
Silver,,20021,108.8,24900,Grand Touring,2019
Black,,18425,108.8,24900,Grand Touring,2019
Silver,,0,193.6,27490,Touring,2019
Blue,,0,193.6,27598,Touring,2019
Blue,,0,193.6,28284,Touring,2019
Red,,0,193.6,28452,Touring,2019
Blue,,0,193.6,28678,Touring,2019
White,,0,193.6,29325,Touring,2019
White,,0,193.6,31213,Grand Touring,2019
Gray,,0,193.6,32448,Grand Touring,2019
Silver,,0,193.6,32581,Grand Touring,2019
Gray,,0,193.6,32748,Grand Touring,2019
Gray,,0,193.6,32748,Grand Touring,2019
Red,,0,193.6,33179,Grand Touring,2019
Red,,0,193.6,33333,Grand Touring,2019
Black,,0,193.6,34428,Grand Touring Reserve,2019
Black,,0,193.6,35947,Signature,2019
Gray,,0,193.6,36364,Signature,2019
White,,0,193.6,37783,Signature,2019
Gray,,0,193.6,40989,Signature,2019
Silver,,35842,115.9,20705,Touring,2018
Red,,64555,41.8,15999,Touring,2016
Black,,36909,93.1,23999,Grand Touring,2018
Gray,,33395,139.0,21950,Grand Touring,2016
Black,,179728,100.0,6495,Touring,2013
Blue,,18587,101.3,27990,Grand Touring,2017
Blue,,21187,165.2,25988,Grand Touring,2017
Gray,,107077,44.3,10490,Touring,2013
Gray,,75972,44.3,13750,Touring,2015
Gray,,64016,44.3,16580,Grand Touring,2016
Blue,,0,46.1,26302,Touring,2019
White,,0,46.1,26432,Touring,2019
Black,,0,46.1,27578,Touring,2019
Blue,,0,46.1,29367,Grand Touring,2019
Red,,0,46.1,31291,Grand Touring,2019
Black,,73630,151.8,13994,Sport,2016
Blue,,0,159.2,24706,Sport,2019
White,,0,159.2,25038,Sport,2019
White,,0,159.2,25540,Sport,2019
,,2430,159.2,26674,Touring,2019
Blue,,0,159.2,27848,Touring,2019
Black,,0,159.2,27898,Touring,2019
,,2430,159.2,27996,Touring,2019
White,,0,159.2,28026,Touring,2019
,,2430,159.2,29603,Grand Touring,2019
Red,,0,159.2,31629,Grand Touring,2019
,,2227,159.2,33409,Grand Touring Reserve,2019
Blue,,96561,31.1,12159,Touring,2014
Blue,,46851,134.2,18450,Grand Touring,2016
Black,,28470,95.8,24435,Grand Touring,2016
Blue,,0,13.7,26795,Sport,2019
Blue,,0,13.7,29060,Touring,2019
Gray,,0,13.7,29360,Touring,2019
Silver,,0,13.7,32490,Grand Touring,2019
Blue,,0,13.7,32490,Grand Touring,2019
Blue,,0,13.7,32490,Grand Touring,2019
Blue,,0,13.7,32490,Grand Touring,2019
Blue,,0,13.7,32490,Grand Touring,2019
Blue,,0,13.7,32490,Grand Touring,2019
Blue,,0,13.7,32490,Grand Touring,2019
Blue,,0,13.7,32490,Grand Touring,2019
White,,0,13.7,32690,Grand Touring,2019
Gray,,0,13.7,32850,Grand Touring,2019
Black,,0,13.7,34115,Grand Touring,2019
Gray,,0,13.7,34415,Grand Touring,2019
Red,,0,13.7,36695,Grand Touring Reserve,2019
Blue,,0,13.7,37935,Signature,2019
Red,,0,13.7,38660,Signature,2019
Gray,,33333,68.7,18800,Touring,2016
White,,12235,146.2,28881,Grand Touring,2018
Blue,,45947,150.2,17600,Touring,2016
Gray,,30644,51.2,24297,Grand Touring,2018
Gray,,20203,,19830,Touring,2016
Gray,,34556,154.6,21498,Touring,2018
Gray,,31744,154.6,21599,Touring,2018
Blue,,15836,154.6,27474,Grand Touring,2019
