color,dealer_rating,miles,miles_away,pricing,trim,year
Blue,,6111,100.6,30491,Grand Touring,2019
Red,,6433,100.6,30491,Grand Touring,2019
White,,44987,190.3,19750,Grand Touring,2016
Red,,9245,190.3,26500,Grand Touring,2017
Blue,,49414,41.6,21300,Grand Touring,2018
Silver,,24648,139.0,17750,Sport,2016
Red,,12661,98.1,25346,Grand Touring,2017
White,,87152,190.8,12000,Touring,2013
Silver,,39929,109.5,16971,Sport,2016
Red,,27897,109.5,18685,Touring,2016
White,,44345,109.5,20551,Grand Touring,2016
Silver,,29485,109.5,21315,Grand Touring,2016
Blue,,14872,109.5,21767,Sport,2017
Silver,,17106,109.5,23591,Touring,2017
Silver,,22425,109.5,25253,Grand Touring,2017
Silver,,3019,109.5,29130,Grand Touring,2019
Gray,,1902,109.5,29673,Grand Touring,2019
Blue,,36948,192.3,16900,Touring,2016
White,,37942,193.8,17302,Sport,2016
Blue,,36029,193.8,20686,Grand Touring,2016
Black,,25642,113.7,18997,Touring,2016
Blue,,36185,113.7,19496,Grand Touring,2016
Blue,,15289,46.1,26950,Grand Touring,2019
Silver,,25167,124.1,19190,Touring,2016
White,,5983,124.1,23774,Sport,2019
Red,,16733,135.7,23600,Touring,2017
Red,,24659,136.5,17773,Sport,2016
Gray,,18747,137.5,20985,Grand Touring,2016
Black,,5594,137.5,25985,Touring,2019
Blue,,4255,142.3,25988,Touring,2019
Gray,,6250,142.3,28988,Grand Touring,2019
Gray,,2525,142.3,29988,Grand Touring,2019
Blue,,18749,158.2,19577,Grand Touring,2016
Black,,23274,174.0,20615,Grand Touring,2016
Silver,,30906,181.5,17191,Sport,2016
Black,,41567,181.5,17763,Touring,2016
Gray,,21886,201.9,20985,Grand Touring,2016
White,,12192,85.8,24690,Grand Touring,2016
Silver,,35008,94.6,16798,Sport,2016
Gray,,35752,94.6,18000,Touring,2016
Black,,34519,98.1,21321,Grand Touring,2016
White,,52138,17.4,15997,Touring,2016
Gray,,33482,125.2,18895,Grand Touring,2016
Silver,,62058,,14730,Sport,2016
Gray,,23630,95.4,22990,Touring,2017
Silver,,10898,82.7,24611,Touring,2018
Red,,11000,119.2,22990,Grand Touring,2016
Black,,33935,123.8,19812,Grand Touring,2016
Red,,23808,123.8,22990,Touring,2017
White,,9916,123.8,26399,Grand Touring,2017
Black,,13475,123.8,27785,Grand Touring,2019
Gray,,25860,139.3,18599,Sport,2016
Silver,,31521,139.3,18997,Touring,2016
Black,,24320,146.2,17991,Sport,2016
Gray,,58690,18.2,16995,Touring,2015
Blue,,21280,18.2,27995,Grand Touring,2019
Red,,39305,150.2,16200,Sport,2016
Gray,,40490,150.2,17400,Touring,2016
White,,49954,150.2,17800,Grand Touring,2015
Gray,,34598,150.2,18000,Touring,2016
Silver,,41687,150.2,19800,Grand Touring,2016
Silver,,32645,150.2,20000,Grand Touring,2016
Blue,,38706,150.2,20100,Grand Touring,2016
Red,,27230,100.6,17691,Sport,2016
Silver,,28804,100.6,18234,Sport,2016
Red,,25113,100.6,18474,Sport,2016
White,,32783,100.6,18492,Touring,2016
White,,17458,100.6,18991,Sport,2016
Black,,32178,100.6,18992,Touring,2016
Silver,,28360,100.6,19222,Touring,2016
Red,,28540,100.6,19494,Touring,2016
Silver,,27590,100.6,19522,Touring,2016
Black,,28669,100.6,19693,Touring,2016
Red,,20636,100.6,19733,Touring,2016
Black,,23370,100.6,19733,Touring,2016
Black,,18612,100.6,19999,Touring,2016
White,,30381,100.6,21422,Grand Touring,2016
Gray,,22866,100.6,21792,Grand Touring,2016
Black,,30439,190.3,18500,Touring,2016
Black,,44869,190.3,19750,Grand Touring,2016
White,,44657,190.3,20750,Grand Touring,2016
Red,,31425,82.1,17200,Sport,2016
Gray,,20669,195.3,20400,Grand Touring,2016
Silver,,24023,83.9,17241,Sport,2016
Gray,,59343,22.1,15490,Touring,2016
White,,33710,22.1,15950,Sport,2016
Black,,15704,132.3,17997,Sport,2016
Red,,56477,139.0,17950,Grand Touring,2015
White,,24260,139.0,19950,Touring,2016
Gray,,26757,139.0,22550,Grand Touring,2016
Silver,,21866,139.0,23250,Grand Touring,2016
Silver,,21732,139.0,23950,Touring,2017
Silver,,29943,95.3,18790,Touring,2016
Silver,,37943,141.8,16988,Sport,2016
Red,,32758,95.8,18500,Touring,2016
Gray,,29840,143.5,17993,Touring,2016
Black,,17270,143.5,18936,Touring,2016
Black,,2945,143.5,26779,Touring,2019
Gray,,5069,147.1,24560,Touring,2018
Black,,41903,98.3,18999,Grand Touring,2016
Gray,,59209,98.6,16387,Grand Touring,2014
Silver,,26380,180.8,18999,Grand Touring,2016
Gray,,22099,108.0,22492,Touring,2017
Gray,,73202,23.1,12974,Sport,2016
Red,,44518,108.6,18695,Grand Touring,2016
